"condition","subj_code","desktop_conf","attent_conf","device_mechanism","contingency","structure_rating_prior","learning_yellow_correct_total","learning_pink_correct_total","learning_yellow_accuracy","learning_pink_accuracy","structure_rating_posterior","age","gender","tech_issues","recorded_at"
4,"FvHatSKCAFbF","1: I confirm","1: I confirm","transp","05_05",8,6,7,0.75,0.875,91,27,"2: female",NA,"2026-01-22 10:00:36"
4,"G3MOVMd5U1E9","1: I confirm","1: I confirm","transp","05_05",85,5,6,0.625,0.75,85,31,"2: female","No errors.","2026-01-22 13:09:02"
5,"G65EEJMxOOXz","1: I confirm","1: I confirm","opaque","0_0",65,0,5,0,0.625,70,60,"2: female",NA,"2026-01-22 15:48:28"
6,"GYkTQmHP0NtS","1: I confirm","1: I confirm","transp","0_0",0,6,8,0.75,1,50,26,"2: female",NA,"2026-01-22 15:54:42"
5,"IE0xGyNsI9j6","1: I confirm","1: I confirm","opaque","0_0",50,0,0,0,0,91,33,"2: female",NA,"2026-01-23 09:19:46"
2,"IF6wgG4xGYhx","1: I confirm","1: I confirm","transp","1_1",0,8,6,1,0.75,2,27,"2: female",NA,"2026-01-22 13:07:33"
3,"IVc2zu9iXuFg","1: I confirm","1: I confirm","opaque","05_05",50,6,8,0.75,1,38,40,"2: female",NA,"2026-01-22 12:11:06"
6,"IlkkTUw6JcV6","1: I confirm","1: I confirm","transp","0_0",0,6,6,0.75,0.75,50,36,"1: male",NA,"2026-01-22 13:25:42"
3,"J0ebWZvScjty","1: I confirm","1: I confirm","opaque","05_05",10,4,5,0.5,0.625,50,50,"1: male",NA,"2026-01-22 13:27:03"
3,"JLTNrrELswMK","1: I confirm","1: I confirm","opaque","05_05",65,5,7,0.625,0.875,50,66,"2: female",NA,"2026-01-22 10:23:21"
6,"JX6o2kUnWBUd","1: I confirm","1: I confirm","transp","0_0",62,6,4,0.75,0.5,50,21,"2: female",NA,"2026-01-22 13:28:43"
3,"JeucsoR4aapu","1: I confirm","1: I confirm","opaque","05_05",54,7,6,0.875,0.75,7,35,"2: female",NA,"2026-01-22 13:16:55"
3,"KgwgaCsVOstd","1: I confirm","1: I confirm","opaque","05_05",21,4,6,0.5,0.75,49,32,"2: female",NA,"2026-01-22 12:26:47"
1,"KpNKQ1slrH7x","1: I confirm","1: I confirm","opaque","1_1",68,5,8,0.625,1,68,63,"2: female",NA,"2026-01-22 09:14:56"
3,"LKe7QxgVyGmn","1: I confirm","1: I confirm","opaque","05_05",100,8,6,1,0.75,100,46,"2: female","None","2026-01-22 09:42:47"
4,"MSd2ck8esO8i","1: I confirm","1: I confirm","transp","05_05",5,4,3,0.5,0.375,5,46,"2: female",NA,"2026-01-22 10:26:57"
6,"MWlCiNYMAFtD","1: I confirm","1: I confirm","transp","0_0",4,6,8,0.75,1,3,56,"1: male",NA,"2026-01-23 08:24:44"
3,"MZppdEAAnijp","1: I confirm","1: I confirm","opaque","05_05",50,4,8,0.5,1,59,34,"2: female",NA,"2026-01-22 15:48:24"
6,"N0N67RIg9mrr","1: I confirm","1: I confirm","transp","0_0",8,6,8,0.75,1,20,46,"1: male",NA,"2026-01-23 08:24:56"
2,"NUFsJfOX5Hoj","1: I confirm","1: I confirm","transp","1_1",18,4,8,0.5,1,15,36,"2: female",NA,"2026-01-22 16:33:01"
1,"OrYMmATg7esD","1: I confirm","1: I confirm","opaque","1_1",38,8,6,1,0.75,12,70,"2: female",NA,"2026-01-22 13:17:10"
2,"QPq9OpoKF54E","1: I confirm","1: I confirm","transp","1_1",0,7,6,0.875,0.75,0,33,"1: male",NA,"2026-01-22 11:11:31"
5,"SIq5XiVyxgJJ","1: I confirm","1: I confirm","opaque","0_0",37,6,7,0.75,0.875,8,28,"2: female",NA,"2026-01-22 11:10:00"
6,"SbkzdLg3Qtei","1: I confirm","1: I confirm","transp","0_0",0,5,7,0.625,0.875,0,70,"2: female",NA,"2026-01-23 08:24:53"
6,"Sho5nFgzOTGT","1: I confirm","1: I confirm","transp","0_0",3,4,8,0.5,1,3,45,"2: female","I did not find this very easy to understand.","2026-01-22 16:33:05"
1,"Sm6tTXHSyPxK","1: I confirm","1: I confirm","opaque","1_1",47,4,8,0.5,1,58,54,"2: female",NA,"2026-01-22 08:38:27"
6,"Sy6D8TqVewqg","1: I confirm","1: I confirm","transp","0_0",22,8,6,1,0.75,71,32,"1: male",NA,"2026-01-23 08:42:56"
6,"T4EETggrUXw0","1: I confirm","1: I confirm","transp","0_0",25,4,6,0.5,0.75,50,71,"1: male",NA,"2026-01-22 15:56:47"
3,"TfFsZZ1qbxZR","1: I confirm","1: I confirm","opaque","05_05",57,5,6,0.625,0.75,73,41,"2: female",NA,"2026-01-22 16:20:04"
6,"UncYNX9lZhmp","1: I confirm","1: I confirm","transp","0_0",2,6,8,0.75,1,0,60,"1: male",NA,"2026-01-23 08:43:00"
6,"VRdSVOVy7gSJ","1: I confirm","1: I confirm","transp","0_0",64,0,4,0,0.5,68,26,"2: female","N/A","2026-01-22 11:09:19"
1,"W2FCiJ4Yc6Lb","1: I confirm","1: I confirm","opaque","1_1",23,8,6,1,0.75,70,28,"1: male","N/A","2026-01-22 15:48:16"
4,"X1HRlECfL1QB","1: I confirm","1: I confirm","transp","05_05",71,3,4,0.375,0.5,40,39,"1: male","None","2026-01-22 13:06:06"
6,"XkkFy3d7ouoj","1: I confirm","1: I confirm","transp","0_0",50,4,8,0.5,1,5,45,"1: male","I was unsure if the boot could kick the yellow ball over the wall.","2026-01-23 08:43:42"
1,"Y5rdkJ4TBlpm","1: I confirm","1: I confirm","opaque","1_1",72,6,8,0.75,1,57,34,"2: female",NA,"2026-01-22 13:16:47"
2,"YFrfU6dWDNAG","1: I confirm","1: I confirm","transp","1_1",8,4,8,0.5,1,9,37,"2: female","no errors thank you
","2026-01-22 09:56:19"
4,"YVR232yhYz7U","1: I confirm","1: I confirm","transp","05_05",49,3,3,0.375,0.375,18,73,"2: female",NA,"2026-01-22 13:16:47"
6,"ZHvYfooXkrLs","1: I confirm","1: I confirm","transp","0_0",0,3,0,0.375,0,8,38,"2: female",NA,"2026-01-22 13:25:45"
6,"ZLp6E5sOu4s3","1: I confirm","1: I confirm","transp","0_0",0,5,8,0.625,1,0,64,"2: female","no errors","2026-01-23 08:43:23"
2,"ZRrp6qcVh0St","1: I confirm","1: I confirm","transp","1_1",30,5,8,0.625,1,18,54,"2: female",NA,"2026-01-22 15:48:19"
6,"Znxh0ecc5orM","1: I confirm","1: I confirm","transp","0_0",11,5,3,0.625,0.375,24,33,"2: female",NA,"2026-01-22 15:48:35"
6,"a82b20crzonD","1: I confirm","1: I confirm","transp","0_0",50,8,4,1,0.5,0,37,"2: female",NA,"2026-01-22 08:38:24"
6,"aiX81U04IcjK","1: I confirm","1: I confirm","transp","0_0",25,8,4,1,0.5,55,40,"1: male","Everything went well and i did my best. But i feels for better understanding for participant the instruction should be more detailed. Thank you","2026-01-22 15:49:24"
4,"an1I9BcvPUd1","1: I confirm","1: I confirm","transp","05_05",22,4,6,0.5,0.75,15,60,"2: female","casual was spelt incorrectly ","2026-01-22 12:31:49"
3,"bjnixyjmcp0N","1: I confirm","1: I confirm","opaque","05_05",73,4,3,0.5,0.375,50,57,"2: female","None","2026-01-22 10:06:29"
4,"bmlJ2YgvTUx9","1: I confirm","1: I confirm","transp","05_05",0,2,4,0.25,0.5,0,32,"2: female",NA,"2026-01-22 11:15:25"
2,"c2u4Qq5tp5zD","1: I confirm","1: I confirm","transp","1_1",0,1,8,0.125,1,0,30,"2: female",NA,"2026-01-22 13:05:58"
6,"cUEu4yL95swK","1: I confirm","1: I confirm","transp","0_0",0,0,4,0,0.5,0,72,"2: female",NA,"2026-01-22 10:49:29"
4,"cgM57VoAENJQ","1: I confirm","1: I confirm","transp","05_05",50,5,7,0.625,0.875,50,49,"2: female",NA,"2026-01-22 13:25:54"
5,"dSlBrmDnfFZT","1: I confirm","1: I confirm","opaque","0_0",50,8,5,1,0.625,56,42,"2: female",NA,"2026-01-22 08:58:35"
6,"dUsfzELNJ0wV","1: I confirm","1: I confirm","transp","0_0",0,6,6,0.75,0.75,0,57,"2: female",NA,"2026-01-22 09:57:21"
5,"emQVPLBEIue8","1: I confirm","1: I confirm","opaque","0_0",75,0,2,0,0.25,75,43,"2: female","There was a bit of a delay before the study opened.","2026-01-22 13:16:45"
4,"f2KA6pB8Rfoe","1: I confirm","1: I confirm","transp","05_05",24,6,8,0.75,1,0,43,"2: female",NA,"2026-01-23 09:07:48"
4,"fBf6zRYGeDrk","1: I confirm","1: I confirm","transp","05_05",8,6,8,0.75,1,8,58,"1: male",NA,"2026-01-22 09:36:43"
1,"g1ixx5bhUFKp","1: I confirm","1: I confirm","opaque","1_1",50,6,8,0.75,1,56,37,"2: female",NA,"2026-01-22 16:14:55"
6,"gSiU88J5DFe8","1: I confirm","1: I confirm","transp","0_0",5,6,5,0.75,0.625,4,19,"1: male",NA,"2026-01-22 11:45:46"
5,"gncVuL2ifA5t","1: I confirm","1: I confirm","opaque","0_0",50,6,7,0.75,0.875,50,40,"2: female",NA,"2026-01-22 13:16:56"
6,"i5pSGzHxo6TL","1: I confirm","1: I confirm","transp","0_0",0,5,8,0.625,1,0,61,"2: female",NA,"2026-01-23 08:42:44"
4,"iR6LqaI3zH7j","1: I confirm","1: I confirm","transp","05_05",0,2,6,0.25,0.75,0,75,"1: male","How much chuck?","2026-01-22 13:06:00"
6,"igfQJx53tb4y","1: I confirm","1: I confirm","transp","0_0",76,0,0,0,0,76,35,"1: male",NA,"2026-01-23 08:46:27"
6,"jWpZ18U1TeqT","1: I confirm","1: I confirm","transp","0_0",61,1,2,0.125,0.25,42,59,"2: female",NA,"2026-01-22 13:18:55"
3,"k2tV0IBn2yZu","1: I confirm","1: I confirm","opaque","05_05",80,1,3,0.125,0.375,93,54,"1: male",NA,"2026-01-22 11:10:42"
2,"k3fRHu3EHK0V","1: I confirm","1: I confirm","transp","1_1",0,6,6,0.75,0.75,0,53,"2: female","nothing noted ","2026-01-22 13:03:41"
4,"k7TOXyqImy50","1: I confirm","1: I confirm","transp","05_05",66,2,1,0.25,0.125,72,44,"2: female",NA,"2026-01-22 15:48:42"
2,"kPlthoQK1Jaq","1: I confirm","1: I confirm","transp","1_1",0,6,8,0.75,1,0,46,"1: male",NA,"2026-01-22 13:06:01"
2,"kh6PfCwdwYxi","1: I confirm","1: I confirm","transp","1_1",100,0,8,0,1,0,53,"2: female","There are no errors to report.  Thank you!","2026-01-23 08:56:55"
5,"kwNxCQdjq5gx","1: I confirm","1: I confirm","opaque","0_0",51,8,6,1,0.75,17,49,"2: female",NA,"2026-01-23 09:19:42"
2,"lJimPegsVAve","1: I confirm","1: I confirm","transp","1_1",80,3,8,0.375,1,80,45,"2: female","None at all, all good. Thank you! :-)","2026-01-22 13:22:29"
6,"lXF8XpcWsfYY","1: I confirm","1: I confirm","transp","0_0",100,5,8,0.625,1,50,35,"1: male","none","2026-01-22 10:12:35"
5,"llY2EKSuS1lc","1: I confirm","1: I confirm","opaque","0_0",50,7,3,0.875,0.375,50,44,"1: male",NA,"2026-01-22 08:35:57"
5,"mVo63HVretlh","1: I confirm","1: I confirm","opaque","0_0",50,4,4,0.5,0.5,48,29,"2: female",NA,"2026-01-22 16:36:22"
4,"mlUkCz2gcw3V","1: I confirm","1: I confirm","transp","05_05",18,0,0,0,0,3,66,"1: male",NA,"2026-01-23 09:40:23"
4,"mwobHLVkbozc","1: I confirm","1: I confirm","transp","05_05",34,6,5,0.75,0.625,58,22,"2: female",NA,"2026-01-22 16:33:06"
2,"n1mJFXJGUoTH","1: I confirm","1: I confirm","transp","1_1",31,7,3,0.875,0.375,64,25,"2: female","None.","2026-01-23 09:01:30"
6,"nPYc60CNNXpj","1: I confirm","1: I confirm","transp","0_0",0,0,0,0,0,0,51,"1: male","Thanks for the study have a good day ","2026-01-22 13:57:54"
6,"ncJXhKVZoXxR","1: I confirm","1: I confirm","transp","0_0",21,4,3,0.5,0.375,33,53,"1: male",NA,"2026-01-22 09:03:15"
6,"oizosLMH9dSo","1: I confirm","1: I confirm","transp","0_0",0,8,4,1,0.5,0,36,"1: male",NA,"2026-01-22 11:09:28"
5,"owJfgwLis5f6","1: I confirm","1: I confirm","opaque","0_0",60,7,6,0.875,0.75,37,21,"2: female","None","2026-01-22 11:13:31"
4,"pCtIzJfeP1m4","1: I confirm","1: I confirm","transp","05_05",4,2,4,0.25,0.5,31,38,"1: male",NA,"2026-01-22 09:38:07"
1,"pMuBoJR2B4IY","1: I confirm","1: I confirm","opaque","1_1",64,3,3,0.375,0.375,66,30,"1: male",NA,"2026-01-22 13:16:40"
2,"qAB2eUWnjwNd","1: I confirm","1: I confirm","transp","1_1",5,8,1,1,0.125,0,36,"2: female","None","2026-01-22 12:13:53"
3,"qyKVHvV52kLT","1: I confirm","1: I confirm","opaque","05_05",51,5,4,0.625,0.5,48,59,"2: female",NA,"2026-01-22 15:49:17"
6,"rc2XZJjU7rhS","1: I confirm","1: I confirm","transp","0_0",0,4,8,0.5,1,4,46,"2: female",NA,"2026-01-22 13:25:39"
5,"s2swGLq5tuwX","1: I confirm","1: I confirm","opaque","0_0",90,0,0,0,0,79,34,"2: female","none","2026-01-22 13:09:49"
5,"t7L322eIgjnk","1: I confirm","1: I confirm","opaque","0_0",49,6,7,0.75,0.875,51,64,"2: female",NA,"2026-01-22 11:11:29"
4,"tpsiCjDM4mL3","1: I confirm","1: I confirm","transp","05_05",90,6,5,0.75,0.625,72,34,"1: male",NA,"2026-01-22 11:41:39"
5,"uUGtOFcgUnJr","1: I confirm","1: I confirm","opaque","0_0",66,0,4,0,0.5,67,37,"1: male",NA,"2026-01-22 11:09:13"
4,"uynEjqfnqagE","1: I confirm","1: I confirm","transp","05_05",61,6,6,0.75,0.75,51,33,"2: female","none","2026-01-23 10:10:20"
6,"vZR0wHeSaB2i","1: I confirm","1: I confirm","transp","0_0",0,4,5,0.5,0.625,0,41,"1: male","No issues.","2026-01-22 08:47:38"
6,"wYQltfZVicfI","1: I confirm","1: I confirm","transp","0_0",30,3,7,0.375,0.875,19,38,"1: male","Instructions could be clearer","2026-01-22 16:32:52"
4,"woT0xcFN0a83","1: I confirm","1: I confirm","transp","05_05",0,6,7,0.75,0.875,0,34,"2: female","There were no errors detected","2026-01-22 13:06:37"
6,"wrxW8Al70aIw","1: I confirm","1: I confirm","transp","0_0",0,6,8,0.75,1,9,41,"2: female",NA,"2026-01-22 13:16:43"
3,"xWALS7W94Lwj","1: I confirm","1: I confirm","opaque","05_05",75,2,2,0.25,0.25,73,63,"2: female",NA,"2026-01-22 13:58:09"
5,"yBs4R6l4sSjn","1: I confirm","1: I confirm","opaque","0_0",50,6,2,0.75,0.25,50,49,"1: male","none","2026-01-22 13:58:02"
2,"yPya6qUpcaWx","1: I confirm","1: I confirm","transp","1_1",51,4,6,0.5,0.75,61,31,"2: female",NA,"2026-01-22 13:58:53"
6,"zG99IAEzvnhm","1: I confirm","1: I confirm","transp","0_0",0,4,0,0.5,0,0,49,"2: female",NA,"2026-01-22 13:06:04"
2,"MBcv0VGdV7zu","2: I do not confirm","1: I confirm","transp","1_1",85,8,8,1,1,5,53,"1: male",NA,"2026-01-22 13:05:24"
6,"g9qBF7R2M5sc","2: I do not confirm","1: I confirm","transp","0_0",56,6,7,0.75,0.875,47,34,"2: female",NA,"2026-01-22 09:07:43"
